countyFips,placeFips,area,year,cbBuildingPermit,sdoBuildingPermit,totalPopulation,householdPopulation,personsPerHousehold,totalHousingUnits,occupiedHousingUnits,vacantHousingUnits
015,00000,CHAFFEE COUNTY,2010,23,0,17797,16361,2.15,10030,7595,2435
015,10105,Buena Vista,2010,3,0,2618,2618,2.19,1381,1194,187
015,60600,Poncha Springs,2010,1,0,736,736,2.3,362,320,42
015,67280,Salida,2010,7,12,5239,5064,2.01,2901,2516,385
015,99990,Unincorp. Area,2010,12,0,9204,7943,2.23,5386,3565,1821
017,00000,CHEYENNE COUNTY,2010,0,0,1834,1792,2.28,868,702,166
017,14175,Cheyenne Wells,2010,0,0,845,818,2.15,407,361,46
017,41010,Kit Carson,2010,0,0,233,218,2.32,133,86,47
017,99990,Unincorp. Area,2010,0,0,756,756,2.43,328,255,73
019,00000,CLEAR CREEK COUNTY,2010,2,0,9155,9024,2.14,5472,4060,1412
019,12910,Central City (Part),2010,0,0,0,0,0,0,0,0
019,24620,Empire,2010,0,0,283,283,1.73,199,168,31
019,29735,Georgetown,2010,0,0,1056,970,1.92,724,483,241
019,38370,Idaho Sprgs,2010,0,0,1750,1720,2.07,913,810,103
019,70360,Silver Plume,2010,0,0,170,170,2.02,146,85,61
019,99990,Unincorp. Area,2010,2,0,5896,5881,2.23,3490,2514,976
021,00000,CONEJOS COUNTY,2010,4,0,8282,8246,2.64,3810,2785,1025
021,02355,Antonito,2010,0,0,783,782,2.27,375,318,57
021,42055,La Jara,2010,0,0,820,815,2.6,327,289,38
021,48060,Manassa,2010,0,0,994,994,2.71,385,332,53
021,65740,Romeo,2010,0,0,405,405,3.07,117,99,18
021,67830,Sanford,2010,0,0,881,881,2.88,328,287,41
021,99990,Unincorp. Area,2010,3,0,4399,4369,2.63,2278,1460,818
023,00000,COSTILLA COUNTY,2010,8,0,3532,3532,2.27,2241,1317,924
023,07190,Blanca,2010,1,0,383,383,2.72,146,123,23
023,68105,San Luis,2010,1,0,624,624,2.21,332,245,87
023,99990,Unincorp. Area,2010,7,36,2525,2525,2.23,1763,949,814
025,00000,CROWLEY COUNTY,2010,0,0,5838,3156,2.41,1479,1244,235
025,18750,Crowley,2010,0,0,177,177,2.24,81,73,8
025,55705,Olney Springs,2010,0,0,347,347,2.55,156,132,24
025,56145,Ordway,2010,0,0,1085,1050,2.34,517,430,87
025,74815,Sugar City,2010,0,0,259,259,2.23,147,113,34
025,99990,Unincorp. Area,2010,0,0,3970,1323,2.49,578,496,82
027,00000,CUSTER COUNTY,2010,15,0,4272,4257,2.13,3593,1816,1777
027,70250,Silver Cliff,2010,3,0,610,610,1.97,369,282,87
027,83450,Westcliffe,2010,0,2,450,435,2.09,296,212,84
027,99990,Unincorp. Area,2010,12,44,3212,3212,2.17,2928,1322,1606
029,00000,DELTA COUNTY,2010,3,0,30889,30176,2.38,14575,12679,1896
029,12635,Cedaredge,2010,0,0,2248,2248,2.11,1180,1066,114
029,17925,Crawford,2010,0,0,430,430,2.39,212,180,32
029,19850,Delta,2010,1,0,8897,8761,2.49,3826,3523,303
029,37545,Hotchkiss,2010,0,0,942,942,2.24,471,421,50
029,55980,Orchard City,2010,1,0,3114,3059,2.34,1418,1306,112
029,57300,Paonia,2010,1,0,1450,1413,2.15,744,657,87
029,99990,Unincorp. Area,2010,0,0,13808,13323,2.41,6724,5526,1198
031,00000,DENVER COUNTY,2010,222,0,604879,588898,2.22,287392,265233,22159
031,20000,Denver,2010,222,1008,604879,588898,2.22,287392,265233,22159
033,00000,DOLORES COUNTY,2010,0,0,2060,2060,2.29,1060,678,382
033,21265,Dove Creek,2010,0,0,734,734,2.38,331,284,47
033,64090,Rico,2010,0,0,264,264,2.11,219,130,89
033,99990,Unincorp. Area,2010,0,0,1062,1062,2.29,510,264,246
035,00000,DOUGLAS COUNTY,2010,213,871,287124,286324,2.79,107260,102559,4701
035,04000,Aurora (Part),2010,0,17,156,156,2.84,64,55,9
035,12387,City of Castle Pines,2010,0,2,10384,10376,2.97,3637,3498,139
035,12415,Castle Rock,2010,65,261,48580,48037,2.86,17697,16781,916
035,43550,Larkspur,2010,0,2,183,183,2.26,90,81,9
035,45255,Littleton (Part),2010,0,0,28,28,1.87,17,15,2
035,45955,Lone Tree,2010,68,12,10270,10270,2.54,4238,4044,194
035,57630,Parker,2010,11,43,45489,45451,2.84,16574,15981,593
035,99990,Unincorp. Area,2010,68,272,172034,171823,2.77,64943,62104,2839
037,00000,EAGLE COUNTY,2010,19,0,52057,52002,2.71,30810,18902,11908
037,04110,Avon,2010,0,0,6422,6422,2.78,3483,2228,1255
037,04935,Basalt (Part),2010,1,0,2917,2917,2.42,1318,1134,184
037,22200,Eagle,2010,1,0,6483,6429,2.96,2456,2211,245
037,33695,Gypsum,2010,7,27,6472,6472,3.22,2207,2002,205
037,50920,Minturn,2010,2,0,1027,1027,2.45,523,414,109
037,63265,Red Cliff,2010,0,0,266,266,2.27,118,98,20
037,80040,Vail,2010,1,0,5285,5284,2.04,6974,2502,4472
037,99990,Unincorp. Area,2010,6,23,23185,23185,2.77,13731,8313,5418
039,00000,ELBERT COUNTY,2010,10,0,23107,23034,2.75,8949,8388,561
039,23740,Elizabeth,2010,0,0,1358,1358,2.78,531,489,42
039,40790,Kiowa,2010,0,0,723,688,2.46,322,280,42
039,70635,Simla,2010,0,0,618,588,2.66,266,221,45
039,99990,Unincorp. Area,2010,10,0,20408,20400,2.76,7830,7398,432
041,00000,EL PASO COUNTY,2010,333,0,627232,608091,2.56,253716,237924,15792
041,11260,Calhan,2010,0,0,784,784,2.51,348,312,36
041,16000,Colorado Springs,2010,237,685,420691,412154,2.44,180264,169165,11099
041,27865,Fountain,2010,12,131,26313,26313,2.96,9497,8882,615
041,32650,Green Mtn. Falls (Part),2010,1,0,784,760,1.99,558,381,177
041,48445,Manitou Springs,2010,4,0,5022,4989,1.98,2800,2519,281
041,51800,Monument,2010,3,25,5564,5564,3.07,1887,1813,74
041,57025,Palmer Lake,2010,1,0,2433,2430,2.53,1080,960,120
041,62660,Ramah,2010,0,0,124,124,2.21,68,56,12
041,99990,Unincorp. Area,2010,75,329,165517,154973,2.88,57214,53836,3378
043,00000,FREMONT COUNTY,2010,12,0,46854,38150,2.3,19448,16744,2704
043,09115,Brookside,2010,0,0,233,233,2.45,90,86,4
043,11810,Canon City,2010,3,0,16391,14817,2.23,7449,6773,676
043,15330,Coal Creek,2010,0,0,343,343,2.43,155,137,18
043,27040,Florence,2010,0,0,3877,3786,2.4,1704,1537,167
043,64970,Rockvale,2010,0,0,487,487,2.41,237,211,26
043,85155,Williamsburg,2010,0,0,661,661,2.55,283,262,21
043,99990,Unincorp. Area,2010,8,31,24862,17823,2.32,9530,7738,1792
045,00000,GARFIELD COUNTY,2010,20,0,56150,55266,2.73,22892,19921,2971
045,12030,Carbonate,2010,0,0,0,0,,0,0,0
045,12045,Carbondale,2010,0,1,6398,6293,2.81,2426,2203,223
045,30780,Glenwood Springs,2010,2,19,9576,9399,2.5,4118,3766,352
045,53395,New Castle,2010,0,0,4497,4497,2.88,1668,1518,150
045,57400,Parachute,2010,0,2,1084,1084,2.92,537,368,169
045,64255,Rifle,2010,3,0,9137,9002,2.81,3696,3268,428
045,70195,Silt,2010,0,1,2917,2917,2.97,1136,1036,100
045,99990,Unincorp. Area,2010,13,0,22541,22074,2.71,9311,7762,1549
047,00000,GILPIN COUNTY,2010,4,0,5463,5414,2.19,3298,2289,1009
047,07025,Black Hawk,2010,0,0,118,118,2.31,74,55,19
047,12910,Central City (Part),2010,2,0,668,668,1.94,493,348,145
047,99990,Unincorp. Area,2010,2,0,4677,4628,2.23,2731,1886,845
049,00000,GRAND COUNTY,2010,35,47,14790,14568,2.26,15396,6168,9228
049,28305,Fraser,2010,0,0,1217,1212,2.26,1334,654,680
049,31605,Granby,2010,4,0,1858,1858,2.4,1427,720,707
049,31715,Grand Lake,2010,2,15,469,466,1.96,712,184,528
049,37600,Hot Sulphur Springs,2010,1,2,661,628,2.49,281,228,53
049,41560,Kremmling,2010,2,4,1440,1436,2.35,616,542,74
049,85705,Winter Park,2010,1,3,993,980,2.05,2514,467,2047
049,99990,Unincorp. Area,2010,24,27,8152,7988,2.25,8512,3373,5139
051,00000,GUNNISON COUNTY,2010,22,0,15309,14459,2.22,11431,6511,4920
051,18310,Crested Butte,2010,0,3,1482,1482,2.05,1069,723,346
051,33640,Gunnison,2010,10,20,5873,5113,2.2,2664,2327,337
051,48555,Marble,2010,0,0,131,131,2.43,105,54,51
051,52570,Mount Crested Butte/G,2010,0,0,798,798,2,1510,399,1111
051,59830,Pitkin,2010,0,0,66,66,1.94,214,34,180
051,99990,Unincorp. Area,2010,12,0,6959,6869,2.31,5869,2974,2895
053,00000,HINSDALE COUNTY,2010,2,0,843,787,2.17,1274,337,937
053,42330,Lake City,2010,1,0,408,408,2.13,431,185,246
053,99990,Unincorp. Area,2010,2,0,435,379,2.23,843,152,691
055,00000,HUERFANO COUNTY,2010,9,0,6655,6490,2.09,4445,2764,1681
055,44100,La Veta,2010,1,0,793,793,1.93,567,411,156
055,82350,Walsenburg,2010,0,0,3038,2982,2.12,1617,1295,322
055,99990,Unincorp. Area,2010,8,32,2824,2715,2.1,2261,1058,1203
057,00000,JACKSON COUNTY,2010,2,0,1387,1385,2.14,1140,578,562
057,82130,Walden,2010,0,0,604,602,2.08,350,268,82
057,99990,Unincorp. Area,2010,2,0,783,783,2.19,790,310,480
059,00000,JEFFERSON COUNTY,2010,102,0,535651,528224,2.42,230181,218630,11551
059,03455,Arvada (Part),2010,23,91,103924,103424,2.48,43364,41730,1634
059,08070,Bow Mar (Part),2010,0,0,277,277,3.04,98,91,7
059,23135,Edgewater,2010,0,0,5177,5177,2.3,2436,2249,187
059,30835,Golden,2010,20,0,18929,16596,2.24,7767,7422,345
059,42495,Lakeside,2010,0,0,8,8,1,10,8,2
059,43000,Lakewood,2010,15,66,143294,141123,2.27,65822,62124,3698
059,45255,Littleton (Part),2010,3,0,2393,2393,3.04,805,786,19
059,52075,Morrison,2010,0,0,428,282,2.07,141,136,5
059,52350,Mountain View,2010,0,0,508,508,1.96,278,259,19
059,75640,Superior (Part),2010,0,0,0,0,0,0,0,0
059,83835,Westminster (Part),2010,4,7,42488,42342,2.54,17248,16665,583
059,84440,Wheat Ridge,2010,1,0,30205,29651,2.12,14869,13994,875
059,99990,Unincorp. Area,2010,36,1687,188020,186443,2.55,77343,73166,4177
061,00000,KIOWA COUNTY,2010,1,0,1399,1385,2.23,720,557,163
061,22145,Eads,2010,0,0,609,595,2.08,355,288,67
061,34740,Haswell,2010,0,0,68,68,2.06,36,29,7
061,69700,Sheridan Lake,2010,0,0,88,88,3.03,37,25,12
061,99990,Unincorp. Area,2010,1,0,634,634,2.33,292,215,77
063,00000,KIT CARSON COUNTY,2010,0,0,8267,7192,2.37,3377,2916,461
063,06530,Bethune,2010,0,0,237,237,3.04,79,73,6
063,10600,Burlington,2010,0,0,4253,3184,2.36,1468,1342,126
063,26765,Flagler,2010,0,0,561,561,2.09,309,253,56
063,69040,Seibert,2010,0,0,181,181,2.13,75,54,21
063,74485,Stratton,2010,0,0,658,652,2.27,315,261,54
063,81690,Vona,2010,0,0,106,106,2.16,61,49,12
063,99990,Unincorp. Area,2010,0,0,2271,2271,2.47,1070,884,186
065,00000,LAKE COUNTY,2010,0,0,7282,7149,2.43,4271,2941,1330
065,44320,Leadville,2010,0,1,2592,2537,2.12,1674,1197,477
065,99990,Unincorp. Area,2010,0,0,4690,4612,2.64,2597,1744,853
067,00000,LA PLATA COUNTY,2010,58,0,51441,49726,2.35,25910,21143,4767
067,05265,Bayfield,2010,10,1,2357,2357,2.58,976,912,64
067,22035,Durango,2010,8,0,16889,15267,2.18,7851,7018,833
067,38535,Ignacio,2010,1,4,699,699,2.49,308,281,27
067,99990,Unincorp. Area,2010,40,0,31496,31403,2.43,16775,12932,3843
069,00000,LARIMER COUNTY,2010,120,0,300532,292002,2.42,133171,120666,12505
069,06255,Berthoud (Part),2010,3,0,5040,4971,2.51,2064,1979,85
069,25115,Estes Park,2010,6,0,5865,5828,2.08,4113,2799,1314
069,27425,Fort Collins,2010,58,239,144461,137376,2.37,60733,58030,2703
069,39855,Johnstown (Part),2010,2,46,624,624,2.39,316,261,55
069,46465,Loveland,2010,18,73,67000,66490,2.44,28627,27211,1416
069,77510,Timnath (Part),2010,0,39,625,625,2.92,243,214,29
069,83230,Wellington,2010,3,0,6295,6295,2.88,2281,2188,93
069,85485,Windsor (Part),2010,6,28,4646,4646,2.92,1688,1591,97
069,99990,Unincorp. Area,2010,24,73,65976,65147,2.47,33106,26393,6713
071,00000,LAS ANIMAS COUNTY,2010,4,0,15407,14549,2.29,7648,5934,1714
071,00760,Aguilar,2010,0,0,534,534,2.31,269,214,55
071,08345,Branson,2010,0,0,73,73,2.21,46,34,12
071,15550,Cokedale,2010,0,0,128,128,2.42,86,48,38
071,40570,Kim,2010,0,0,73,73,1.92,55,44,11
071,73715,Starkville,2010,0,0,59,59,2.27,41,30,11
071,78610,Trinidad,2010,1,4,9033,8654,2.31,4250,3640,610
071,99990,Unincorp. Area,2010,4,0,5507,5028,2.27,2901,1924,977
073,00000,LINCOLN COUNTY,2010,2,0,5474,4444,2.28,2242,1810,432
073,03235,Arriba,2010,0,0,193,193,2.03,117,86,31
073,29680,Genoa,2010,0,0,139,139,2.28,52,38,14
073,37875,Hugo,2010,0,0,730,639,2.07,358,269,89
073,44980,Limon,2010,1,0,1883,1883,2.27,927,797,130
073,99990,Unincorp. Area,2010,1,0,2529,1590,2.42,788,620,168
075,00000,LOGAN COUNTY,2010,4,0,22293,18819,2.34,8488,7608,880
075,18640,Crook,2010,0,0,110,110,1.93,74,56,18
075,26875,Fleming,2010,0,0,408,408,2.47,200,162,38
075,38590,Iliff,2010,0,0,266,266,2.51,113,94,19
075,50040,Merino,2010,0,0,284,284,2.63,124,112,12
075,58235,Peetz,2010,0,0,238,238,2.45,105,96,9
075,73935,Sterling,2010,0,1,14350,10972,2.25,5195,4685,510
075,99990,Unincorp. Area,2010,4,17,6637,6541,2.47,2677,2403,274
077,00000,MESA COUNTY,2010,91,437,147155,142688,2.46,62994,57942,5052
077,15605,Collbran,2010,0,0,704,469,2.51,221,187,34
077,19355,De Beque,2010,0,0,500,498,2.65,222,188,34
077,28745,Fruita,2010,7,58,12680,12472,2.64,5125,4732,393
077,31660,Grand Junction,2010,38,259,59426,55749,2.29,26419,24341,2078
077,56970,Palisade,2010,2,4,2721,2606,2.21,1278,1178,100
077,99990,Unincorp. Area,2010,43,180,71124,70894,2.6,29729,27316,2413
079,00000,MINERAL COUNTY,2010,2,0,705,705,2.01,1097,312,785
079,14765,City of Creede,2010,0,0,287,287,1.83,226,131,95
079,99990,Unincorp. Area,2010,2,0,418,418,2.15,871,181,690
081,00000,MOFFAT COUNTY,2010,5,0,13806,13704,2.51,5962,5269,693
081,17760,Craig,2010,2,0,9468,9369,2.47,3999,3710,289
081,20495,Dinosaur,2010,0,0,339,339,2.59,145,109,36
081,99990,Unincorp. Area,2010,4,0,3999,3996,2.58,1818,1450,368
083,00000,MONTEZUMA COUNTY,2010,4,0,25532,25295,2.4,11932,10397,1535
083,17375,Cortez,2010,3,9,8484,8358,2.33,3889,3592,297
083,20770,Dolores,2010,0,1,936,927,2.15,488,420,68
083,48115,Mancos,2010,1,1,1337,1264,2.32,547,490,57
083,99990,Unincorp. Area,2010,0,0,14775,14746,2.47,7008,5895,1113
085,00000,MONTROSE COUNTY,2010,30,0,41188,40646,2.47,17198,15455,1743
085,51745,Montrose,2010,20,77,19179,18731,2.37,8697,7892,805
085,53120,Naturita,2010,0,0,543,543,2.15,264,211,53
085,54935,Nucla,2010,0,0,707,707,2.32,298,248,50
085,55540,Olathe,2010,0,0,1838,1770,3.03,609,562,47
085,99990,Unincorp. Area,2010,10,0,18921,18895,2.55,7330,6542,788
087,00000,MORGAN COUNTY,2010,5,0,28196,27632,2.68,10960,9841,1119
087,09555,Brush,2010,0,0,5468,5095,2.44,2128,1937,191
087,27810,Fort Morgan,2010,1,0,11326,11135,2.78,4266,3992,274
087,36610,Hillrose,2010,0,0,264,264,2.51,127,108,19
087,45695,Log Lane Village,2010,0,0,874,874,2.91,332,290,42
087,84770,Wiggins,2010,0,0,894,894,2.99,402,350,52
087,99990,Unincorp. Area,2010,4,0,9370,9370,2.67,3705,3164,541
089,00000,OTERO COUNTY,2010,1,0,18838,18405,2.38,8689,7490,1199
089,13460,Cheraw,2010,0,0,252,252,2.5,100,88,12
089,27975,Fowler,2010,0,0,1182,1145,2.18,614,541,73
089,42110,La Junta,2010,0,0,7079,6796,2.33,3349,2858,491
089,48500,Manzanola,2010,0,0,434,434,2.66,177,146,31
089,65190,Rocky Ford,2010,0,0,3958,3888,2.4,1854,1607,247
089,75970,Swink,2010,0,0,617,617,2.49,284,246,38
089,99990,Unincorp. Area,2010,1,0,5316,5273,2.45,2311,2004,307
091,00000,OURAY COUNTY,2010,5,0,4446,4446,2.19,3088,2026,1062
091,56420,Ouray,2010,2,7,1003,1003,2.19,802,458,344
091,64200,Ridgway,2010,0,0,925,925,2.29,511,404,107
091,99990,Unincorp. Area,2010,3,0,2518,2518,2.16,1775,1164,611
093,00000,PARK COUNTY,2010,26,0,16262,16170,2.25,13798,7120,6678
093,01530,Alma,2010,0,0,271,271,1.96,169,123,46
093,25610,Fairplay,2010,1,0,683,683,2.28,398,300,98
093,99990,Unincorp. Area,2010,26,0,15308,15216,2.25,13231,6697,6534
095,00000,PHILLIPS COUNTY,2010,2,0,4465,4405,2.41,1945,1704,241
095,34960,Haxtun,2010,0,1,950,930,2.29,478,391,87
095,37270,Holyoke,2010,1,0,2325,2285,2.42,973,892,81
095,57245,Paoli,2010,0,0,34,34,2.13,21,15,6
095,99990,Unincorp. Area,2010,1,0,1156,1156,2.51,473,406,67
097,00000,PITKIN COUNTY,2010,7,0,17156,17084,2.09,12488,7825,4663
097,03620,Aspen,2010,2,0,6659,6617,1.88,5931,3517,2414
097,04935,Basalt (Part),2010,0,0,931,931,2.38,514,392,122
097,71755,Snowmass Village,2010,0,0,2826,2816,2.12,2355,1327,1028
097,99990,Unincorp. Area,2010,5,0,6740,6720,2.3,3688,2589,1099
099,00000,PROWERS COUNTY,2010,0,0,12531,12216,2.48,5419,4499,920
099,31550,Granada,2010,0,0,516,516,2.77,203,155,48
099,34520,Hartman,2010,0,0,81,81,2.31,32,23,9
099,37215,Holly,2010,0,2,801,757,2.54,354,277,77
099,43110,Lamar,2010,0,0,7792,7527,2.43,3455,2919,536
099,85045,Wiley,2010,0,0,404,404,2.49,193,160,33
099,99990,Unincorp. Area,2010,0,0,2937,2931,2.55,1182,965,217
101,00000,PUEBLO COUNTY,2010,94,0,159496,155175,2.46,69614,63148,6466
101,07795,Boone,2010,0,0,340,332,2.39,182,139,43
101,62000,Pueblo,2010,64,103,106881,102836,2.37,47653,43411,4242
101,66895,Rye,2010,0,0,153,153,2.15,115,71,44
101,99990,Unincorp. Area,2010,29,0,52122,51854,2.66,21664,19527,2137
103,00000,RIO BLANCO COUNTY,2010,6,0,6617,6382,2.43,3172,2531,641
103,49875,Meeker,2010,0,0,2452,2409,2.4,1151,947,204
103,62880,Rangely,2010,2,8,2349,2162,2.46,1089,942,147
103,99990,Unincorp. Area,2010,4,10,1816,1811,2.43,932,642,290
105,00000,RIO GRANDE COUNTY,2010,4,0,12001,11803,2.47,6266,4534,1732
105,12855,Center (Part),2010,0,0,218,218,2.48,53,49,4
105,19795,Del Norte,2010,0,0,1688,1647,2.41,799,641,158
105,51635,Monte Vista,2010,1,0,4451,4397,2.47,1905,1726,179
105,72395,South Fork,2010,0,0,386,380,2.15,538,160,378
105,99990,Unincorp. Area,2010,2,0,5258,5161,2.5,2971,1958,1013
107,00000,ROUTT COUNTY,2010,18,0,23439,23104,2.34,15591,9440,6151
107,35070,Hayden,2010,1,0,1805,1805,2.46,807,735,72
107,55155,Oak Creek,2010,1,0,882,882,2.25,479,367,112
107,73825,Steamboat Springs,2010,11,0,12052,11774,2.27,9457,4915,4542
107,86475,Yampa,2010,0,0,427,427,2.45,195,159,36
107,99990,Unincorp. Area,2010,5,0,8273,8216,2.43,4653,3264,1389
109,00000,SAGUACHE COUNTY,2010,10,0,6144,6126,2.31,3231,2249,982
109,07571,Bonanza City,2010,0,0,16,16,1.6,31,7,24
109,12855,Center (Part),2010,0,0,2011,2011,2.85,807,686,121
109,18420,Crestone,2010,1,7,154,154,2.11,78,50,28
109,51250,Moffat,2010,0,0,116,116,2.27,64,47,17
109,67005,Saguache,2010,0,0,485,467,1.97,327,225,102
109,99990,Unincorp. Area,2010,8,0,3362,3362,2.13,1924,1234,690
111,00000,SAN JUAN COUNTY,2010,1,0,709,709,2.03,739,346,393
111,70580,Silverton,2010,0,0,646,646,1.99,500,323,177
111,99990,Unincorp. Area,2010,1,0,63,63,2.52,239,23,216
113,00000,SAN MIGUEL COUNTY,2010,11,0,7356,7347,2.13,6165,3253,2912
113,52550,Mountain Village,2010,0,0,1313,1313,1.76,1626,588,1038
113,54880,Norwood,2010,1,0,517,517,2.4,236,203,33
113,55870,Ophir,2010,0,0,180,180,2.69,84,77,7
113,68655,Sawpit,2010,0,0,40,40,2.22,16,13,3
113,76795,Telluride,2010,6,0,2319,2319,2.14,2134,1113,1021
113,99990,Unincorp. Area,2010,5,0,2987,2978,2.25,2069,1259,810
115,00000,SEDGWICK COUNTY,2010,0,0,2367,2332,2.15,1325,1016,309
115,39965,Julesburg,2010,0,0,1219,1184,2.09,697,541,156
115,56475,Ovid,2010,0,0,316,316,2.27,162,128,34
115,68930,Sedgwick,2010,0,0,145,145,1.93,112,76,36
115,99990,Unincorp. Area,2010,0,0,687,687,2.25,354,271,83
117,00000,SUMMIT COUNTY,2010,20,0,28073,27800,2.36,29861,11787,18074
117,07410,Blue River,2010,0,0,851,851,2.53,726,337,389
117,08400,Breckenridge,2010,4,0,4552,4449,2.28,6915,1951,4964
117,20440,Dillon,2010,0,0,906,906,1.99,1290,456,834
117,28690,Frisco,2010,6,0,2694,2694,2.07,3123,1303,1820
117,51690,Montezuma,2010,0,0,65,65,2.6,55,25,30
117,70525,Silverthorne,2010,5,0,3904,3902,2.68,2066,1457,609
117,99990,Unincorp. Area,2010,4,23,15101,14933,2.39,15686,6258,9428
119,00000,TELLER COUNTY,2010,9,32,23441,23309,2.37,12651,9844,2807
119,18530,Cripple Creek,2010,0,0,1193,1193,2.15,727,554,173
119,32650,Green Mtn. Falls (Part),2010,0,0,28,28,1.87,33,15,18
119,80865,Victor,2010,0,0,398,398,1.87,337,213,124
119,86090,Woodland Park,2010,2,0,7229,7229,2.47,3196,2931,265
119,99990,Unincorp. Area,2010,6,0,14593,14461,2.36,8358,6131,2227
121,00000,WASHINGTON COUNTY,2010,2,0,4815,4471,2.34,2177,1711,466
121,00925,Akron,2010,1,0,1651,1467,2.15,815,660,155
121,56365,Otis,2010,0,0,458,458,2.35,228,179,49
121,99990,Unincorp. Area,2010,1,0,2706,2546,2.46,1134,872,262
123,00000,WELD COUNTY,2010,172,0,254230,248335,2.76,96540,89831,6709
